# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|6835=tf_rep(Ophio5|5850)	0.0243493	395.04910645781405	0.7043848165856841
Ophio5|6920=tf_rep(Ophio5|5850)	0.0243043	715.1940390382051	0.6796703819829367
Ophio5|392=tf_act(Ophio5|491)	0.0242629	643.2545929307108	0.7006474491279527
Ophio5|2056=tf_act(Ophio5|5850)	0.0239544	505.55341915512173	0.9945489457198059
Ophio5|8584=tf_act(Ophio5|8584)	0.0237256	478.7115457852067	0.7481401694307648
Ophio5|512=tf_act(Ophio5|6920)	0.0233084	522.4193873415912	0.8241387507876926
Ophio5|4218=tf_act(Ophio5|491)	0.0228477	589.5170436770198	0.9999999999999997
Ophio5|2137=tf_act(Ophio5|2137)	0.0220749	380.48805575324315	0.46470227854614377
Ophio5|512=tf_rep(Ophio5|1479)	0.0220556	520.576754700549	0.8212319196100123
Ophio5|392=tf_rep(Ophio5|5850)	0.0220329	558.6966868245456	0.6085450656114042
Ophio5|8584=tf_act(Ophio5|8604)	0.0218534	482.89555274645323	0.7546790208632118
Ophio5|4218=tf_act(Ophio5|6835)	0.021802	589.5170436770197	0.9999999999999994
Ophio5|2056=tf_act(Ophio5|8584)	0.021668	505.5754446879303	0.9945922754048673
Ophio5|1479=tf_rep(Ophio5|512)	0.0214382	469.1714569922057	0.6412950571963649
Ophio5|5850=tf_rep(Ophio5|8321)	0.0213759	799.9460864241945	0.9999861729396452
Ophio5|4218=tf_act(Ophio5|1654)	0.0211711	589.5170436770198	0.9999999999999997
Ophio5|756=tf_act(Ophio5|491)	0.0211279	318.52951370702647	0.5012360218537453
Ophio5|2056=tf_act(Ophio5|2237)	0.0209932	480.1875215466275	0.944647934732827
Ophio5|4218=tf_act(Ophio5|3300)	0.0205066	560.0499190593335	0.9500148046036295
