time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0105100	2.42443	1.0125	1.20639	1.26832	3.12633	18.9761	42.6443	64.5447	66.9312	36.917	21.3933	14.8812	5.63155	12.9653	2.47244	1.55506	4.10875	10.2242	33.0349	42.2101	51.5461
PF3D7_0105200	2.31592	3.19069	19.8448	51.4219	65.0997	71.9426	64.5583	50.1424	29.8709	27.8268	35.8523	32.3839	23.1356	13.317	6.78113	22.5153	48.9624	61.6225	63.6711	53.445	37.7416
PF3D7_0105300	4.38365	2.03735	1.35592	0.870298	0.699333	2.91885	11.6612	39.1896	83.5287	262.705	377.118	297.018	165.398	93.0872	7.64027	3.12514	2.99537	4.63715	13.182	23.2764	68.0754
PF3D7_0105400	1.65672	1.31563	0.276543	0	1.08319	1.03441	1.35348	0.938315	4.57232	127.914	250.73	264.042	163.647	71.4834	5.21136	1.34743	0.406678	1.3393	0.454168	1.08867	13.0809
PF3D7_0105500	1.08902	0.84387	0.99459	3.10948	9.78306	15.897	21.9149	21.3937	15.835	8.73453	3.87065	4.11632	2.55825	3.16766	1.78318	2.43752	5.29451	11.2749	16.3158	19.9236	16.0594
PF3D7_0105600	32.6733	37.4925	35.1659	29.5237	23.2344	24.8986	24.0984	20.114	14.4256	7.86752	8.09761	6.00877	6.21928	7.08238	24.8225	29.1806	26.5691	23.4861	21.5671	20.0091	16.8175
PF3D7_0105700	1.75831	1.25029	0.837725	0.894492	2.51629	10.0953	19.3596	23.932	20.9111	17.1047	14.5027	12.0828	9.90462	8.73627	2.69748	1.33241	3.77113	8.35328	15.1278	19.2233	19.4041
PF3D7_0105800	3.33681	1.98831	1.00656	0.997294	3.7444	18.1373	42.7946	58.7809	81.7348	142.978	169.906	137	82.0403	38.9559	3.87059	2.67393	5.54575	14.094	33.8746	49.2411	67.2242
PF3D7_0105900	0.609059	0.61381	0.289018	0.859919	2.96081	12.7712	18.5659	20.4323	15.8679	24.645	31.6079	22.9372	14.4841	10.1198	1.14347	0.938226	2.93926	8.5455	16.3079	18.731	18.6114
PF3D7_0106000	3.12129	1.77913	1.265	1.59309	3.09905	9.10632	18.1056	26.8111	37.189	120.993	187.388	139.526	96.2547	37.9865	3.32717	2.88026	4.50181	7.95529	16.534	21.4179	35.4594
PF3D7_0106100	68.5863	80.8934	93.1963	104.328	108.945	93.2745	83.8617	84.7792	88.6735	81.6937	107.773	117.354	73.949	46.9823	56.4459	78.3042	96.2584	93.7612	78.6535	79.5204	80.9316
PF3D7_0106200	2.97825	1.18257	0.373143	0.556867	0.180665	2.22514	5.74475	11.6036	17.2537	29.3382	32.0557	18.1458	11.0675	6.0858	0.982602	0.670714	0.916583	2.12083	4.48132	8.78476	13.8895
PF3D7_0106300	317.532	221.509	172.556	161.005	153.772	137.388	138.18	170.794	238.233	308.859	239.867	188.461	151.057	209.811	160.784	159.958	157.613	145.417	134.15	150.374	176.524
PF3D7_0106400	332.932	257.774	235.757	224.518	209.58	189.657	111.447	56.4609	27.7447	15.2455	9.78203	15.0141	26.4807	48.8518	190.011	228.371	250.981	207.691	126.856	78.5625	37.6976
PF3D7_0106500	1.4504	1.6255	1.14536	0.688705	0.540654	1.37741	5.28438	10.2965	16.0636	14.4211	11.9509	8.40592	5.45785	4.39661	1.5872	0.783172	0.676774	1.56716	4.82787	8.9887	11.4048
PF3D7_0106600	0.600104	1.00722	0.554473	0.412955	0.28891	0.0887017	0.10788	0.0479561	0.44586	0.293733	0.717543	1.4432	0.611594	1.19445	3.38236	0.941556	0.651274	0.104926	0.0474554	0.283068	0.37276
PF3D7_0106700	117.22	96.3175	83.1152	83.8912	81.5754	55.1473	37.2206	27.7493	22.0549	17.6078	34.3049	32.8119	26.262	34.4291	63.1307	69.5466	67.0607	52.3623	38.1884	30.2554	20.1981
PF3D7_0106800	1.73596	1.45515	4.25781	13.6435	32.4662	43.7553	52.9036	73.5426	141.317	155.911	96.1938	94.5061	43.1205	24.6657	2.57216	7.42794	20.711	35.6368	48.3546	70.6328	92.6084
PF3D7_0106900	1.00895	0.84778	0.742258	1.40977	3.28577	8.82068	14.9079	27.1937	25.2956	23.944	20.7212	14.8538	9.21121	6.64499	2.48096	1.45896	2.65734	6.22598	13.6995	19.984	22.9824
PF3D7_0107000	8.25256	4.22055	2.18726	5.72893	10.9331	52.0948	130.656	216.673	374.465	295.733	161.539	135.066	69.9994	54.3111	6.90334	5.88373	14.8488	45.6152	115.321	180.466	250.507
PF3D7_0107100	0.390008	0.450476	0.385402	1.91996	4.37545	8.66569	8.99647	7.97621	4.88394	2.64951	1.43508	1.1783	3.41563	1.94002	1.49462	1.08476	3.37165	5.40946	7.58061	8.50025	6.68021
PF3D7_0107200	0.429712	0.793567	0.40818	1.77253	7.89938	15.9664	15.8073	17.2686	10.2893	4.41732	2.53343	3.1459	1.83748	2.65117	0.645698	0.956153	4.42343	12.7832	15.5195	16.3132	12.1042
PF3D7_0107300	0.629048	0.352136	0.663549	0.287997	0.2426	0.619739	0.82953	1.50091	1.40847	1.84773	4.50778	6.81079	4.90441	6.88493	1.04995	0.418712	0.546787	0.773215	1.35658	1.24045	1.14224
PF3D7_0107400	2.41732	0.898193	1.06866	0.32047	2.61999	12.6404	33.5018	47.6289	47.6182	37.6452	22.1761	18.3144	11.6247	14.4347	3.53948	1.83798	3.82088	12.128	30.5268	36.8002	43.793
PF3D7_0107500	649.283	506.064	385.393	383.428	380.346	230.872	139.34	97.1209	69.661	53.8618	122.656	307.715	2219.57	1056.78	352.71	336.22	299.227	228.646	140.976	108.996	75.4186
PF3D7_0107600	0.71381	1.16173	0.431728	0.44536	0.255412	0.249036	0.237736	0.438312	0.397747	0.568973	0.85681	1.67939	3.04611	3.42906	1.39602	0.428916	0.446495	0.266096	0.393797	0.390371	0.363156
PF3D7_0107700	0.918409	0.668466	0.484244	1.58487	5.45673	14.25	20.5467	22.7295	9.33438	9.93698	6.67667	3.01521	4.85362	3.77689	1.37942	0.78598	4.91125	10.3018	18.7116	21.4956	15.7054
PF3D7_0107800	1.632	4.81768	9.68238	15.2024	19.0627	22.0603	24.6322	30.6818	22.9536	17.251	11.3725	6.8115	6.29221	5.70135	4.06988	9.47012	15.6261	17.9304	22.9021	25.5477	23.1056
PF3D7_0107900	7.25116	23.2121	41.8942	57.7511	57.5228	51.945	41.2066	41.6905	33.8074	21.7853	11.4763	11.7912	8.87535	9.99264	16.8404	35.0379	46.9051	44.3408	42.2224	38.328	32.6613
PF3D7_0108000	129.673	128.541	124.339	152.343	184.366	191.174	214.393	250.09	388.662	351.395	198.438	189.82	102.798	65.0034	91.3949	125.434	153.446	169.491	184.441	219.766	267.563
